Sales Summary Displayed by Location,Gross Sales,Items,Service Charges,Refunds,Discounts & Comps,Net Sales,Gift Card Sales,Tax,Tip,Partial Refunds,Total Collected,Fees,Net Total
Scooter's,"$26,745.46","$26,493.73",$251.73,-$47.90,-$54.13,"$26,643.43",$0.00,"$1,845.73","$2,050.73",$0.00,"$30,539.89",-$541.97,"$29,997.92"
Island coffee,"$35,246.87","$35,246.87",$0.00,-$6.25,$0.00,"$35,240.62",$100.00,"$2,270.35","$3,176.49",$0.00,"$40,787.46",-$793.79,"$39,993.67"
Stubbys,"$97,005.98","$97,005.98",$0.00,-$19.74,$0.00,"$96,986.24",$100.00,$0.00,"$7,861.99",$0.00,"$104,948.23","-$2,380.84","$102,567.39"
